Name,rank
"UNIVERSITY OF MARYLAND, COLLEGE PARK",132
AALTO UNIVERSITY,133
UNIVERSITI MALAYA |UM,134
KYUSHU UNIVERSITY,135
UNIVERSITY OF SOUTHERN CALIFORNIA,136
UNIVERSITY OF MINNESOTA,137
UNIVERSITY OF LAUSANNE,138
CHALMERS UNIVERSITY OF TECHNOLOGY,139
CARDIFF UNIVERSITY,140
UNIVERSITÃ‰ PIERRE ET MARIE CURIE |UPMC,141
UNIVERSITY OF ABERDEEN,142
UNIVERSITY OF BASEL,143
ERASMUS UNIVERSITY ROTTERDAM,144
UNIVERSITY OF PITTSBURGH,145
RHEINISCH-WESTFÃ„LISCHE TECHNISCHE HOCHSCHULE AACHEN,146
PONTIFICIA UNIVERSIDAD CATÃ“LICA DE CHILE,147
HEBREW UNIVERSITY OF JERUSALEM,148
EMORY UNIVERSITY,149
MCMASTER UNIVERSITY,150
NATIONAL TSING HUA UNIVERSITY,151
INDIAN INSTITUTE OF SCIENCE BANGALORE,152
UNIVERSITY OF WATERLOO,153
UNIVERSITÃ‰ CATHOLIQUE DE LOUVAIN |UCL,154
UNIVERSITÃ„T WIEN,155
"UNIVERSITY OF CALIFORNIA, IRVINE |UCI",156
UNIVERSITY OF LIVERPOOL,157
DARTMOUTH COLLEGE,158
UNIVERSITY OF BATH,159
MICHIGAN STATE UNIVERSITY,160
TEXAS A&M UNIVERSITY,161
UNIVERSITAT DE BARCELONA |UB,162
UNIVERSITÃ„T FREIBURG,163
CENTRALESUPÃ‰LEC,164
TECHNISCHE UNIVERSITÃ„T BERLIN,165
UNIVERSITY OF EXETER,166
EBERHARD KARLS UNIVERSITÃ„T TÃœBINGEN,167
NEWCASTLE UNIVERSITY,168
UNIVERSITY OF OTAGO,169
UNIVERSITY OF COLORADO AT BOULDER,170
HANYANG UNIVERSITY,171
UNIVERSITY OF VIRGINIA,172
MAASTRICHT UNIVERSITY,173
NATIONAL CHIAO TUNG UNIVERSITY,174
UNIVERSITY OF READING,175
UNIVERSITY COLLEGE DUBLIN |UCD,176
ECOLE NORMALE SUPÃ‰RIEURE DE LYON ,177
GEORG-AUGUST-UNIVERSITÃ„T GÃ–TTINGEN,178
UNIVERSITY OF BERGEN,179
UNIVERSITY OF TWENTE,180
UNIVERSITY OF BERN,181
VRIJE UNIVERSITEIT BRUSSEL |VUB,182
POLITECNICO DI MILANO,183
TECHNISCHE UNIVERSITÃ„T WIEN,184
INDIAN INSTITUTE OF TECHNOLOGY DELHI |IITD,185
UNIVERSITY OF FLORIDA,186
UNIVERSITY OF ROCHESTER,187
"UNIVERSITY OF ILLINOIS, CHICAGO |UIC",188
UNIVERSITY OF SUSSEX,189
KING FAHD UNIVERSITY OF PETROLEUM & MINERALS |KFUPM,190
RADBOUD UNIVERSITY NIJMEGEN,191
UNIVERSIDADE ESTADUAL DE CAMPINAS |UNICAMP,192
UNIVERSITY OF CAPE TOWN,193
"UNIVERSITY OF TECHNOLOGY, SYDNEY |UTS",194
QUEEN'S UNIVERSITY OF BELFAST,195
STOCKHOLM UNIVERSITY,196
UNIVERSITY OF CALGARY,197
WESTERN UNIVERSITY,198
VRIJE UNIVERSITEIT AMSTERDAM,199
UNIVERSIDAD DE CHILE,200
WASEDA UNIVERSITY,201
CASE WESTERN RESERVE UNIVERSITY,202
UNIVERSITAT AUTÃ“NOMA DE BARCELONA,203
UNIVERSITY OF NOTRE DAME,204
VANDERBILT UNIVERSITY,205
TECNOLÃ“GICO DE MONTERREY |ITESM,206
UNIVERSITÃ‰ GRENOBLE-ALPES |UGA ,207
UNIVERSITÃ€ DI BOLOGNA |UNIBO,208
UNIVERSITY OF ANTWERP,209
TECHNISCHE UNIVERSITÃ„T DRESDEN,210
UNIVERSIDAD AUTÃ“NOMA DE MADRID,211
TEL AVIV UNIVERSITY,212
TECHNION - ISRAEL INSTITUTE OF TECHNOLOGY,213
GEORGETOWN UNIVERSITY,214
UNIVERSITY OF CANTERBURY,215
KEIO UNIVERSITY,216
UNIVERSITÃ‰ LIBRE DE BRUXELLES |ULB,217
UNIVERSITY OF WOLLONGONG,218
INDIAN INSTITUTE OF TECHNOLOGY BOMBAY |IITB,219
SCIENCES PO PARIS,220
