"product","development","design","information","model","analytics","algorithm","[0]","insight","Engineering","report","engineering","database","analytic","Bachelor","security","Data Science","communication","Business","management","statistic","implement","visualization","Computer Science","Management Science and Engineering","strategy","communicate","understand","access","mathematics","modeling","Economics","hadoop","testing","intelligence","processing","recommendation","presentation","(2, 5]","Statistics","computing","data mining","Mathematics","spark","pattern","improvement","analysis","big data","integration","java","optimization","Master","r","business problem","hive","python","scripting","prototype","documentation","sql","automation","scala","data collection","Information Science","extract","(5, 10]","Doctor","machine learning","interface","(0, 2]","nosql","advertising","regression","develop ... model","defense","tableau","transformation","large data set","oracle","classification","aws","clustering","fraud","evaluation","forecasting","decision making","go","pig","linux","dashboard","c","excel","hbase","Operations Research","manufacturing","statistical method","teradata","statistical model","saas","spss","operation research","Biological Engineering","segmentation","hardware","deep learning","pricing","javascript","Physics","mapreduce","ownership","data analysis","b2b","cluster","hdfs","quantitative analysis","physic","mapping","decision-making","perl","d3","solve problem","troubleshooting","ruby","command","predict","probability","matlab","unix","cassandra","simulation","word","scrum","apache","drive ... decision","powerpoint","Electrical and Electronics Engineering","experimentation","identify opportunity","data architecture","statistical software","mongodb","bioinformatics","identify ... trend","data infrastructure","econometrics","forecast","design ... experiment","git","formulate","data warehousing","critical thinking","mysql","data integration","test hypothesis","test ... model","develop ... system","(10, 15]","Chemical Engineering","html","Sociology","customer service","quality assurance","data gathering","complex data set","cross-functionally","data wrangling","validate ... model","construct","build model","microsoft office","analytical method","exploratory analysis","Geography","collect data","manage data","provide leadership","(20, 30)","build solution","Industrial Engineering","financial model","key decision","Linguistics","Cognitive Science","data aggregation","Psychology","engineering design","product decision","manipulate ... data set","cross functionally","manipulate ... dataset","product launch","problem statement","(15, 20]","ensure accuracy","business recommendation","drive ... model","normalization","product leadership","discover pattern","sa","data sourcing","evaluate ... metric","build dashboard","explore opportunity","evaluate ... experiment","quantitative information","product operation","mine data","experiment analysis","monitor ... metric","due diligence","support platform","requirement specification","cost-benefit","ass ... improvement","Astrophysics","Environmental Engineering","non-routine analysis problem","ongoing deliverable","prioritize lead","provide mentorship","ensure data integrity","go-to-market strategy","define metric","Transportation Engineering","cost benefit","manage decision","create rule","visual display","track ... activity","ad-hoc exploratory","architect system","automate report","tactical initiative","transform data set"
0.005749090901044881,0.004909471334538571,0.0044687857980086265,0.004172293013718622,0.004061530519341065,0.0037758104135452416,0.0035641416891771917,0.0033621417981904446,0.0033538273108691106,0.0032329441427929578,0.003032405465911208,0.0029943488063114065,0.0028562481389485628,0.002671826595342619,0.0026560162913000025,0.0025328574263173195,0.002497316302684297,0.0024888043175989335,0.0024180531427999284,0.002358335671318298,0.0022946625243399567,0.0021501980312769904,0.0021124738677168148,0.002081308113472664,0.0020055751349423202,0.0019914998659509068,0.001974125720476516,0.001938908731280903,0.001870281850804427,0.001833795208692715,0.0017408045892955432,0.0017300782461709646,0.0016969886670595321,0.001651397236894312,0.0016334176246326788,0.001630186175750342,0.0015962647067723683,0.0015844260839396696,0.0015546256101757585,0.0015396091956021314,0.001535555573217092,0.0015294154067595034,0.0015259190233243437,0.0013933043095680946,0.0013724636439769637,0.0013675509277072586,0.001366658623464972,0.0012933904208845125,0.0012605246429941322,0.001219306797896608,0.0012086599487993821,0.0011922842700883404,0.0010981345214076555,0.001097675416436932,0.0010869123380651685,0.0010752692300405359,0.0010750017729019704,0.00107445656548636,0.0010692178855126674,0.001052880131777228,0.0010368637856446805,0.0010328798909967293,0.001021689618241743,0.0010182343589132462,0.0010150315535367633,0.0010088621668778203,0.0010030645712185001,0.000995556469346029,0.0009732781279046732,0.0009723225768268912,0.00096446197721348,0.0009591387332716059,0.0009315985777249146,0.0009119673071385521,0.0009051422513628389,0.000891948170669133,0.0008803595015299851,0.0008698343698141074,0.0008605239491133763,0.0008504869954424261,0.0008471291577134139,0.0008424892193926222,0.0008370281934956731,0.0007807135858553978,0.0007752119604137021,0.0007462259676297089,0.0007358385123119326,0.0007250721535725487,0.0007135663743944784,0.000704941054590121,0.0006989319585711247,0.0006912369322626712,0.00068673181799378,0.000673229549214776,0.0006464393442379073,0.0006418862391450258,0.0006383946516061907,0.0006381972440153094,0.0006268978698732905,0.0006198298283227677,0.0006166710683959998,0.0006134635282318739,0.00061255487548286,0.0005996806853560253,0.0005876292127613083,0.0005785419360992521,0.0005737886016901992,0.0005721827907437131,0.0005682192473625639,0.0005623550409517773,0.0005536643139051307,0.0005388755969763648,0.0005376521052571305,0.0005195511801894371,0.0005119313006084355,0.0005095362379638851,0.0005055248425727285,0.0005043284292734452,0.000499714681303997,0.0004921966234625133,0.0004862624474926694,0.0004853150186414069,0.0004848264248292222,0.00047803717448808403,0.0004747669411995289,0.00046897838408497964,0.0004689227539647494,0.0004649753034283129,0.00045776797710832425,0.0004565759947898146,0.0004504831204816297,0.00044441352622826154,0.0004374381092388881,0.00042870899004578085,0.0004176487722003544,0.0004115640533690794,0.0004044824168197137,0.0003958791150807024,0.00039436394962594706,0.00038047849143844285,0.0003718901615769774,0.0003674147887184934,0.0003653646176239063,0.00035674509108547076,0.00035393019736810306,0.0003471089473505431,0.00033348053539184884,0.00033152019361860593,0.00032241956768452434,0.0003180768324932029,0.0003167862926707192,0.0002986639500804964,0.00029722314477335704,0.0002856427233513137,0.00028506446628860025,0.0002737562205462174,0.00027325980371308234,0.00027215756229867255,0.0002705478149695143,0.0002672203138707217,0.00026532095212624264,0.0002609554051919524,0.00024979482084730827,0.00022776807608028505,0.00022582016505959176,0.00021780652090038562,0.00019268520375730368,0.00018070370948454457,0.0001759153657490691,0.00015988032426425607,0.00015879714677007568,0.0001585567843326186,0.00015809318527528718,0.00015444357861239027,0.0001524510371934651,0.00015231887722107136,0.00014844333941337035,0.0001402917758458952,0.0001341789713156754,0.0001337972702783881,0.00013223592257582633,0.00013027066372202806,0.0001227748526233014,0.0001208142228941901,0.00011156161437526516,0.00010510402576467109,0.00010041664031863741,9.817311909374844e-05,9.123588285422194e-05,9.107726264535289e-05,8.774236617388337e-05,8.40500624626125e-05,8.273178891254193e-05,8.091866309077424e-05,7.521525374290058e-05,7.370824379210206e-05,7.136429410190729e-05,6.997625449221824e-05,5.7710008033559937e-05,5.426726500583172e-05,5.247514179522715e-05,5.212305032237989e-05,5.1687835555123966e-05,4.937478819703116e-05,4.718461739601989e-05,4.381104853001728e-05,4.320306847907374e-05,4.220856614797511e-05,4.190559961782489e-05,3.935936707651791e-05,3.9241351380843394e-05,3.8438194776792534e-05,3.6494593237197105e-05,3.4908297181313004e-05,3.2035179633936314e-05,3.122423983446648e-05,3.090050466173601e-05,3.0793461618860536e-05,3.0793461618860536e-05,3.0238103506338758e-05,2.9699025088716503e-05,2.4475632971681046e-05,2.335698778418072e-05,2.2512336357306188e-05,2.2204284581847704e-05,2.21797202622426e-05,2.067646730957169e-05,1.8074799398782894e-05,1.803418900941874e-05,1.4716438317047886e-05,1.016971494348707e-05,8.918613663498086e-06,5.978449425448043e-06,5.037840049177551e-06,2.8029525496165902e-06

"max distance",0.7042378634486361,"post",5278
"min distance",0.09356276694185726,"post",2085
